gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
100365,2022,JPN,4911,2093339,244815,466,51.394,-22193,-0.010601722893425288,23949.604,0.09782735534995812,-0.010601722893425288,0.09782735534995812,0,49
100367,2022,MYS,3842,990.585,892.046,0.485,24.827,-42.304,-0.04270607772175028,12.041095,0.013498289325886781,-0.04270607772175028,0.013498289325886781,1,38
100369,2022,JPN,3011,4961818,2965807,4691,93.687,305508,0.061571786792663494,439485.717,0.14818419303751054,0.061571786792663494,0.14818419303751054,0,30
100375,2022,JPN,5661,87214,49843,782,14.523,-2602,-0.029834659573004334,11356.985999999999,0.22785518528178478,-0.029834659573004334,0.22785518528178478,0,56
100382,2022,JPN,2820,765606,295211,955,24.083,40682,0.05313699213433542,22999.265,0.07790788622375182,0.05313699213433542,0.07790788622375182,0,28
100385,2022,JPN,2800,592158,296480,3025,40.357,12768,0.02156181289453153,122079.925,0.4117644529141932,0.02156181289453153,0.4117644529141932,0,28
100388,2022,JPN,3559,562816,299889,8460,17.079,57491,0.10214883727541506,144488.34,0.48180606824525074,0.10214883727541506,0.48180606824525074,0,35
100393,2022,JPN,3330,1064575,192880,2177,0.002,23285,0.02187257825892962,4.354,2.2573620904189133e-5,0.02187257825892962,7.351888091412304e-5,0,33
100396,2022,JPN,3873,355915,129793,3105,9.909,5028,0.014126968517764073,30767.445000000003,0.237050110560662,0.014126968517764073,0.237050110560662,0,38
100397,2022,JPN,1520,1198105,454085,1473,48.137,59326,0.04951652818409071,70905.801,0.15615094310536576,0.04951652818409071,0.15615094310536576,0,15
100400,2022,JPN,7359,20269,10030,1052,1.938,1052,0.051901919186935715,2038.7759999999998,0.20326779661016947,0.051901919186935715,0.20326779661016947,0,73
100408,2022,JPN,3560,828049,359968,4720,21.487,50488,0.060972237150216956,101418.63999999998,0.28174348831007195,0.060972237150216956,0.28174348831007195,0,35
100410,2022,JPN,3823,36289,18784,1761,4.776,1536,0.04232687591281104,8410.536,0.44775,0.04232687591281104,0.44775,0,38
100418,2022,JPN,2834,1263350,799959,8704,73.041,55432,0.04387699370720703,635748.864,0.7947268097489996,0.04387699370720703,0.7947268097489996,0,28
100420,2022,JPN,2013,126261,68333,1422,27.35,-4987,-0.039497548728427624,38891.700000000004,0.5691496056078323,-0.039497548728427624,0.5691496056078323,0,20
100425,2022,SGP,2834,3650.126,3548.717,9.58,19.911,148.316,0.040633117870451596,190.74738000000002,0.053751082433454125,0.040633117870451596,0.053751082433454125,1,28
100438,2022,JPN,3873,389982,224180,593,51.459,21836,0.05599232785102902,30515.187,0.13611913194754216,0.05599232785102902,0.13611913194754216,0,38
100433,2022,JPN,3851,1028326,818321,12705,22.459,168638,0.1639927416013988,285341.595,0.34869152203108555,0.1639927416013988,0.34869152203108555,0,38
