"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",1254,2023,"MATSON INC",4400,4294.6,2400.7,297.1,34.4,109.6,0.0691799003399618,3770.24,1.5704752780439,0.0691799003399618,1.5704752780439
"A","USD","STD","INDL","C",1266,2023,"ALICO INC",100,428.353,244.991,1.835,7.611,24.96,0.0042838500022178,189.97056,0.775418525578491,0.0042838500022178,0.775418525578491
"A","USD","STD","INDL","C",1300,2023,"HONEYWELL INTERNATIONAL INC",9997,61525,15856,5658,651.8,209.71,0.0919626168224299,136688.978,8.62064694752775,0.0919626168224299,8.62064694752775
"A","USD","STD","INDL","C",1327,2023,"SKYWORKS SOLUTIONS INC",3674,8426.7,6082.7,982.8,159.5,98.59,0.116629285485421,15725.105,2.5852179130978,0.116629285485421,2.5852179130978
"I","USD","STD","INDL","C",1380,2023,"HESS CORP",1311,24007,8986,1382,307.158,144.16,0.0575665430915983,44279.89728,4.92765382595148,0.0575665430915983,4.92765382595148
"A","USD","STD","INDL","C",1393,2023,"U-HAUL HOLDING CO",7510,19058.758,7172.445,628.707,196.078,67.54,0.0329878263840697,13243.10812,1.84638684855722,0.0329878263840697,1.84638684855722
"A","USD","STD","INDL","C",1397,2023,"AMERICAN BILTRITE INC",2670,117.738,24.993,-2.641,0.032,95.01,-0.022431160712769,3.04032,0.121646861121114,-0.022431160712769,0.146365406439454
"A","USD","STD","INDL","C",1410,2023,"ABM INDUSTRIES INC",7340,4933.7,1799.9,251.3,62.847,39.34,0.0509354034497436,2472.40098,1.37363241291183,0.0509354034497436,1.37363241291183
"A","USD","STD","INDL","C",1440,2023,"AMERICAN ELECTRIC POWER CO",4911,96684,25289.2,2208.1,526.185,81.22,0.0228383186463117,42736.7457,1.68992082390902,0.0228383186463117,1.68992082390902
"A","USD","STD","INDL","C",1559,2023,"AMERICAN SHARED HSPTL SERV",8090,48.162,22.624,0.61,6.3,2.3794,0.012665586977285,14.99022,0.662580445544554,0.012665586977285,0.662580445544554
"I","USD","STD","INDL","C",1562,2023,"LOGILITY SPPLY CHAIN SOL INC",7372,192.444,130.481,11.373,33.22,10.11,0.059097711542059,335.8542,2.57397015657452,0.059097711542059,2.57397015657452
"A","USD","STD","INDL","C",1585,2023,"AMERICAN VANGUARD CORP",2870,767.548,370.01,7.519,28.762,10.97,0.00979613001401867,315.51914,0.852731385638226,0.00979613001401867,0.852731385638226
"A","USD","STD","INDL","C",1598,2023,"AMETEK INC",3823,15023.533,8730.191,1313.188,230.93,164.89,0.0874087340174911,38078.0477,4.36165115975126,0.0874087340174911,4.36165115975126
"A","USD","STD","INDL","C",1602,2023,"AMGEN INC",2836,97154,6232,6717,535.4,288.02,0.0691376577392593,154205.908,24.7442086007702,0.0691376577392593,24.7442086007702
"A","USD","STD","INDL","C",1613,2023,"AMPCO-PITTSBURGH CORP",3312,565.654,60.939,-39.928,19.729,2.73,-0.0705873201639165,53.86017,0.883837444001378,-0.0705873201639165,0.883837444001378
"A","USD","STD","INDL","C",1632,2023,"ANALOG DEVICES INC",3674,48794.478,35565.122,3314.579,496.262,157.33,0.0679293874196174,78076.90046,2.19532216028951,0.0679293874196174,2.19532216028951
"A","USD","STD","INDL","C",1659,2023,"ANDERSONS INC",5150,3855.007,1282.899,101.19,33.794,57.54,0.0262489795738373,1944.50676,1.51571305301509,0.0262489795738373,1.51571305301509
"A","USD","STD","INDL","C",1661,2023,"NABORS INDUSTRIES LTD",1381,5277.965,326.614,-11.784,9.395,81.63,-0.00223267869339793,766.91385,2.34807402622055,-0.00223267869339793,2.34807402622055
"A","USD","STD","INDL","C",1678,2023,"APA CORP",1311,15244,2655,2855,303.576,35.88,0.187286801364471,10892.30688,4.10256379661017,0.187286801364471,4.10256379661017
"A","USD","STD","INDL","C",1686,2023,"APOGEE ENTERPRISES INC",3442,884.064,471.025,99.613,22.089,57.21,0.112676231585044,1263.71169,2.68289727721459,0.112676231585044,2.68289727721459
"A","USD","STD","INDL","C",1690,2023,"APPLE INC",3663,352583,62146,96995,15550.061,171.21,0.275098345637765,2662325.94381,42.8398600683873,0.263684370578134,42.8398600683873
"A","USD","STD","INDL","C",1704,2023,"APPLIED MATERIALS INC",3559,30729,16349,6856,833,132.35,0.223111718572033,110247.55,6.74338185821763,0.223111718572033,6.74338185821763
"A","USD","STD","INDL","C",1706,2023,"ENERPAC TOOL GROUP CORP",3533,762.597,326.62,46.561,54.988,26.2,0.0610558394538662,1440.6856,4.41089216826894,0.0610558394538662,4.41089216826894
"A","USD","STD","INDL","C",1722,2023,"ARCHER-DANIELS-MIDLAND CO",2070,54631,24132,3483,513,72.22,0.0637550108912522,37048.86,1.53525857782198,0.0637550108912522,1.53525857782198
"A","USD","STD","INDL","C",1743,2023,"ARCBEST CORP",4213,2485.094,1242.363,195.433,23.564,120.21,0.0786420956309902,2832.62844,2.28003284064319,0.0786420956309902,2.28003284064319
"A","USD","STD","INDL","C",1773,2023,"ARROW ELECTRONICS INC",5065,21726.168,5805.464,903.505,53.811,122.25,0.0415860265832428,6578.39475,1.13313849676787,0.0415860265832428,1.13313849676787
"A","USD","STD","INDL","C",1783,2023,"ARTS WAY MFG INC",3523,24.402,11.641,0.267,5.013,2.06,0.0109417260880256,10.32678,0.887104200670045,0.0109417260880256,0.887104200670045
